district_label,tier,year,subject,race,avg_score,n_tested
Madison Metropolitan,MMSD,2015-16,Composite,Black,16.03,281
Madison Metropolitan,MMSD,2015-16,Composite,Hispanic,18.04,250
Madison Metropolitan,MMSD,2015-16,Composite,White,24.57,764
Madison Metropolitan,MMSD,2015-16,English,Black,14.54,281
Madison Metropolitan,MMSD,2015-16,English,Hispanic,16.95,250
Madison Metropolitan,MMSD,2015-16,English,White,24.52,764
Madison Metropolitan,MMSD,2015-16,Mathematics,Black,16.47,281
Madison Metropolitan,MMSD,2015-16,Mathematics,Hispanic,18.17,250
Madison Metropolitan,MMSD,2015-16,Mathematics,White,24.01,764
Madison Metropolitan,MMSD,2016-17,Composite,Black,16.12,259
Madison Metropolitan,MMSD,2016-17,Composite,Hispanic,17.68,277
Madison Metropolitan,MMSD,2016-17,Composite,White,24.59,795
Madison Metropolitan,MMSD,2016-17,English,Black,14.61,259
Madison Metropolitan,MMSD,2016-17,English,Hispanic,16.16,277
Madison Metropolitan,MMSD,2016-17,English,White,24.64,795
Madison Metropolitan,MMSD,2016-17,Mathematics,Black,16.41,259
Madison Metropolitan,MMSD,2016-17,Mathematics,Hispanic,17.99,277
Madison Metropolitan,MMSD,2016-17,Mathematics,White,23.97,795
Madison Metropolitan,MMSD,2017-18,Composite,Black,15.48,253
Madison Metropolitan,MMSD,2017-18,Composite,Hispanic,17.26,286
Madison Metropolitan,MMSD,2017-18,Composite,White,25.04,793
Madison Metropolitan,MMSD,2017-18,English,Black,13.92,253
Madison Metropolitan,MMSD,2017-18,English,Hispanic,16.17,286
Madison Metropolitan,MMSD,2017-18,English,White,25.26,793
Madison Metropolitan,MMSD,2017-18,Mathematics,Black,16.13,253
Madison Metropolitan,MMSD,2017-18,Mathematics,Hispanic,17.48,286
Madison Metropolitan,MMSD,2017-18,Mathematics,White,24.42,793
Madison Metropolitan,MMSD,2018-19,Composite,Black,15.49,283
Madison Metropolitan,MMSD,2018-19,Composite,Hispanic,17.52,339
Madison Metropolitan,MMSD,2018-19,Composite,White,24.96,799
Madison Metropolitan,MMSD,2018-19,English,Black,13.99,283
Madison Metropolitan,MMSD,2018-19,English,Hispanic,16.31,339
Madison Metropolitan,MMSD,2018-19,English,White,24.94,799
Madison Metropolitan,MMSD,2018-19,Mathematics,Black,15.98,283
Madison Metropolitan,MMSD,2018-19,Mathematics,Hispanic,17.66,339
Madison Metropolitan,MMSD,2018-19,Mathematics,White,24.44,799
Madison Metropolitan,MMSD,2021-22,Composite,Black,15.91,151
Madison Metropolitan,MMSD,2021-22,Composite,Hispanic,16.74,249
Madison Metropolitan,MMSD,2021-22,Composite,White,23.88,662
Madison Metropolitan,MMSD,2021-22,English,Black,14.54,151
Madison Metropolitan,MMSD,2021-22,English,Hispanic,14.82,249
Madison Metropolitan,MMSD,2021-22,English,White,23.48,662
Madison Metropolitan,MMSD,2021-22,Mathematics,Black,15.99,151
Madison Metropolitan,MMSD,2021-22,Mathematics,Hispanic,16.8,249
Madison Metropolitan,MMSD,2021-22,Mathematics,White,22.48,662
Madison Metropolitan,MMSD,2022-23,Composite,Black,14.82,197
Madison Metropolitan,MMSD,2022-23,Composite,Hispanic,16.87,368
Madison Metropolitan,MMSD,2022-23,Composite,White,23.08,719
Madison Metropolitan,MMSD,2022-23,English,Black,12.81,197
Madison Metropolitan,MMSD,2022-23,English,Hispanic,15.08,368
Madison Metropolitan,MMSD,2022-23,English,White,22.39,719
Madison Metropolitan,MMSD,2022-23,Mathematics,Black,15.28,197
Madison Metropolitan,MMSD,2022-23,Mathematics,Hispanic,16.76,368
Madison Metropolitan,MMSD,2022-23,Mathematics,White,21.92,719
Milwaukee,Tier 1,2015-16,Composite,Black,15.09,1969
Milwaukee,Tier 1,2015-16,Composite,Hispanic,16.54,823
Milwaukee,Tier 1,2015-16,Composite,White,19.8,403
Milwaukee,Tier 1,2015-16,English,Black,13.44,1969
Milwaukee,Tier 1,2015-16,English,Hispanic,15.23,823
Milwaukee,Tier 1,2015-16,English,White,19.36,403
Milwaukee,Tier 1,2015-16,Mathematics,Black,15.45,1969
Milwaukee,Tier 1,2015-16,Mathematics,Hispanic,16.77,823
Milwaukee,Tier 1,2015-16,Mathematics,White,19.08,403
Milwaukee,Tier 1,2016-17,Composite,Black,15.53,1847
Milwaukee,Tier 1,2016-17,Composite,Hispanic,17.21,797
Milwaukee,Tier 1,2016-17,Composite,White,20.52,386
Milwaukee,Tier 1,2016-17,English,Black,13.92,1847
Milwaukee,Tier 1,2016-17,English,Hispanic,15.93,797
Milwaukee,Tier 1,2016-17,English,White,20.13,386
Milwaukee,Tier 1,2016-17,Mathematics,Black,15.57,1847
Milwaukee,Tier 1,2016-17,Mathematics,Hispanic,17.23,797
Milwaukee,Tier 1,2016-17,Mathematics,White,19.47,386
Milwaukee,Tier 1,2017-18,Composite,Black,15.32,1861
Milwaukee,Tier 1,2017-18,Composite,Hispanic,17.11,748
Milwaukee,Tier 1,2017-18,Composite,White,20.44,388
Milwaukee,Tier 1,2017-18,English,Black,14.22,1861
Milwaukee,Tier 1,2017-18,English,Hispanic,16.36,748
Milwaukee,Tier 1,2017-18,English,White,20.16,388
Milwaukee,Tier 1,2017-18,Mathematics,Black,15.47,1861
Milwaukee,Tier 1,2017-18,Mathematics,Hispanic,17.26,748
Milwaukee,Tier 1,2017-18,Mathematics,White,19.73,388
Milwaukee,Tier 1,2018-19,Composite,Black,15.11,1765
