paper_id,pubmed_pmid,fetch_date,fetch_status,source
abcd_35383335,35383335,2026-06-24T23:51:34Z,success,abcd_website
abcd_35489875,35489875,2026-06-24T23:51:34Z,success,abcd_website
abcd_35388223,35388223,2026-06-24T23:51:34Z,success,abcd_website
abcd_39433889,39433889,2026-06-24T23:51:34Z,success,abcd_website
abcd_34099922,34099922,2026-06-24T23:51:34Z,success,abcd_website
abcd_38713673,38713673,2026-06-24T23:51:34Z,success,abcd_website
abcd_39196964,39196964,2026-06-24T23:51:34Z,success,abcd_website
abcd_31415884,31415884,2026-06-24T23:51:34Z,success,abcd_website
abcd_34392051,34392051,2026-06-24T23:51:34Z,success,abcd_website
abcd_33096046,33096046,2026-06-24T23:51:34Z,success,abcd_website
abcd_33749724,33749724,2026-06-24T23:51:34Z,success,abcd_website
abcd_34599145,34599145,2026-06-24T23:51:34Z,success,abcd_website
abcd_35998220,35998220,2026-06-24T23:51:34Z,success,abcd_website
abcd_33679599,33679599,2026-06-24T23:51:34Z,success,abcd_website
abcd_38605111,38605111,2026-06-24T23:51:34Z,success,abcd_website
abcd_40811581,40811581,2026-06-24T23:51:34Z,success,abcd_website
abcd_40830579,40830579,2026-06-24T23:51:34Z,success,abcd_website
abcd_36380235,36380235,2026-06-24T23:51:34Z,success,abcd_website
abcd_a_prognostic_human_brain_network_for_diffuse_midline_glioma,NA,2026-06-24T23:51:34Z,success,abcd_website
abcd_37076628,37076628,2026-06-24T23:51:34Z,success,abcd_website
abcd_41946727,41946727,2026-06-24T23:51:34Z,success,abcd_website
abcd_37095248,37095248,2026-06-24T23:51:34Z,success,abcd_website
abcd_35296861,35296861,2026-06-24T23:51:34Z,success,abcd_website
abcd_40706587,40706587,2026-06-24T23:51:34Z,success,abcd_website
abcd_40181189,40181189,2026-06-24T23:51:34Z,success,abcd_website
abcd_40128186,40128186,2026-06-24T23:51:34Z,success,abcd_website
abcd_34155395,34155395,2026-06-24T23:51:34Z,success,abcd_website
abcd_41448140,41448140,2026-06-24T23:51:34Z,success,abcd_website
abcd_patterns_of_brain_wide_associations_reflect_socioeconomics,NA,2026-06-24T23:51:34Z,success,abcd_website
abcd_41022827,41022827,2026-06-24T23:51:34Z,success,abcd_website
abcd_38663994,38663994,2026-06-24T23:51:34Z,success,abcd_website
abcd_40913110,40913110,2026-06-24T23:51:34Z,success,abcd_website
abcd_cortical_thinning_and_hippocampal_expansion_as_brain_signatures_of_attention_def,NA,2026-06-24T23:51:34Z,success,abcd_website
abcd_41637939,41637939,2026-06-24T23:51:34Z,success,abcd_website
abcd_38632388,38632388,2026-06-24T23:51:34Z,success,abcd_website
abcd_39020167,39020167,2026-06-24T23:51:34Z,success,abcd_website
abcd_29567376,29567376,2026-06-24T23:51:34Z,success,abcd_website
abcd_38182882,38182882,2026-06-24T23:51:34Z,success,abcd_website
abcd_39232159,39232159,2026-06-24T23:51:34Z,success,abcd_website
abcd_37787573,37787573,2026-06-24T23:51:34Z,success,abcd_website
abcd_38532024,38532024,2026-06-24T23:51:34Z,success,abcd_website
abcd_39893243,39893243,2026-06-24T23:51:34Z,success,abcd_website
abcd_40617820,40617820,2026-06-24T23:51:34Z,success,abcd_website
abcd_38924835,38924835,2026-06-24T23:51:34Z,success,abcd_website
abcd_34467389,34467389,2026-06-24T23:51:34Z,success,abcd_website
abcd_39009591,39009591,2026-06-24T23:51:34Z,success,abcd_website
abcd_35101172,35101172,2026-06-24T23:51:34Z,success,abcd_website
abcd_41372214,41372214,2026-06-24T23:51:34Z,success,abcd_website
abcd_31778819,31778819,2026-06-24T23:51:34Z,success,abcd_website
abcd_31614255,31614255,2026-06-24T23:51:34Z,success,abcd_website
abcd_40536230,40536230,2026-06-24T23:51:34Z,success,abcd_website
abcd_hierarchical_neurocognitive_model_of_externalizing_and_internalizing_comorbidity,NA,2026-06-24T23:51:34Z,success,abcd_website
abcd_38036780,38036780,2026-06-24T23:51:34Z,success,abcd_website
abcd_38851850,38851850,2026-06-24T23:51:34Z,success,abcd_website
abcd_39999579,39999579,2026-06-24T23:51:34Z,success,abcd_website
abcd_34692610,34692610,2026-06-24T23:51:34Z,success,abcd_website
abcd_38110396,38110396,2026-06-24T23:51:34Z,success,abcd_website
abcd_40210909,40210909,2026-06-24T23:51:34Z,success,abcd_website
abcd_35090817,35090817,2026-06-24T23:51:34Z,success,abcd_website
abcd_40681146,40681146,2026-06-24T23:51:34Z,success,abcd_website
abcd_39546599,39546599,2026-06-24T23:51:34Z,success,abcd_website
abcd_40670782,40670782,2026-06-24T23:51:34Z,success,abcd_website
abcd_34742018,34742018,2026-06-24T23:51:34Z,success,abcd_website
abcd_37592024,37592024,2026-06-24T23:51:34Z,success,abcd_website
abcd_36934605,36934605,2026-06-24T23:51:34Z,success,abcd_website
abcd_38609424,38609424,2026-06-24T23:51:34Z,success,abcd_website
abcd_41850537,41850537,2026-06-24T23:51:34Z,success,abcd_website
abcd_34147629,34147629,2026-06-24T23:51:34Z,success,abcd_website
abcd_36501894,36501894,2026-06-24T23:51:34Z,success,abcd_website
abcd_40118942,40118942,2026-06-24T23:51:34Z,success,abcd_website
abcd_37023632,37023632,2026-06-24T23:51:34Z,success,abcd_website
abcd_37500827,37500827,2026-06-24T23:51:34Z,success,abcd_website
abcd_29051027,29051027,2026-06-24T23:51:34Z,success,abcd_website
abcd_34560273,34560273,2026-06-24T23:51:34Z,success,abcd_website
abcd_37527347,37527347,2026-06-24T23:51:34Z,success,abcd_website
abcd_34452728,34452728,2026-06-24T23:51:34Z,success,abcd_website
abcd_39724816,39724816,2026-06-24T23:51:34Z,success,abcd_website
abcd_linking_neuroimaging_and_mental_health_data_from_the_abcd_study_to_urbansat_meas,NA,2026-06-24T23:51:34Z,success,abcd_website
abcd_37973980,37973980,2026-06-24T23:51:34Z,success,abcd_website
abcd_39604734,39604734,2026-06-24T23:51:34Z,success,abcd_website
abcd_36100668,36100668,2026-06-24T23:51:34Z,success,abcd_website
abcd_37071275,37071275,2026-06-24T23:51:34Z,success,abcd_website
abcd_40595447,40595447,2026-06-24T23:51:34Z,success,abcd_website
abcd_39097657,39097657,2026-06-24T23:51:34Z,success,abcd_website
abcd_33821002,33821002,2026-06-24T23:51:34Z,success,abcd_website
abcd_36482079,36482079,2026-06-24T23:51:34Z,success,abcd_website
abcd_37881576,37881576,2026-06-24T23:51:34Z,success,abcd_website
abcd_38531894,38531894,2026-06-24T23:51:34Z,success,abcd_website
abcd_negative_impacts_of_pandemic_induced_at_home_remote_learning_can_be_mitigated_by,NA,2026-06-24T23:51:34Z,success,abcd_website
abcd_34608463,34608463,2026-06-24T23:51:34Z,success,abcd_website
abcd_35636343,35636343,2026-06-24T23:51:34Z,success,abcd_website
abcd_41061484,41061484,2026-06-24T23:51:34Z,success,abcd_website
abcd_40147852,40147852,2026-06-24T23:51:34Z,success,abcd_website
abcd_38583301,38583301,2026-06-24T23:51:34Z,success,abcd_website
abcd_34920091,34920091,2026-06-24T23:51:34Z,success,abcd_website
abcd_40932837,40932837,2026-06-24T23:51:34Z,success,abcd_website
abcd_40328752,40328752,2026-06-24T23:51:34Z,success,abcd_website
abcd_34661541,34661541,2026-06-24T23:51:34Z,success,abcd_website
abcd_36542658,36542658,2026-06-24T23:51:34Z,success,abcd_website
abcd_37074691,37074691,2026-06-24T23:51:34Z,success,abcd_website
abcd_35748113,35748113,2026-06-24T23:51:34Z,success,abcd_website
abcd_37202553,37202553,2026-06-24T23:51:34Z,success,abcd_website
abcd_41312239,41312239,2026-06-24T23:51:34Z,success,abcd_website
abcd_32672986,32672986,2026-06-24T23:51:34Z,success,abcd_website
abcd_40560555,40560555,2026-06-24T23:51:34Z,success,abcd_website
abcd_39622794,39622794,2026-06-24T23:51:34Z,success,abcd_website
abcd_40086410,40086410,2026-06-24T23:51:34Z,success,abcd_website
abcd_41940926,41940926,2026-06-24T23:51:34Z,success,abcd_website
abcd_34379727,34379727,2026-06-24T23:51:34Z,success,abcd_website
abcd_35963164,35963164,2026-06-24T23:51:34Z,success,abcd_website
abcd_36084446,36084446,2026-06-24T23:51:34Z,success,abcd_website
abcd_38339910,38339910,2026-06-24T23:51:34Z,success,abcd_website
abcd_42220632,42220632,2026-06-24T23:51:34Z,success,abcd_website
abcd_39390801,39390801,2026-06-24T23:51:34Z,success,abcd_website
abcd_35223717,35223717,2026-06-24T23:51:34Z,success,abcd_website
abcd_35123342,35123342,2026-06-24T23:51:34Z,success,abcd_website
abcd_29113758,29113758,2026-06-24T23:51:34Z,success,abcd_website
abcd_39232266,39232266,2026-06-24T23:51:34Z,success,abcd_website
abcd_35113692,35113692,2026-06-24T23:51:34Z,success,abcd_website
abcd_33410532,33410532,2026-06-24T23:51:34Z,success,abcd_website
abcd_33740410,33740410,2026-06-24T23:51:34Z,success,abcd_website
abcd_32463952,32463952,2026-06-24T23:51:34Z,success,abcd_website
abcd_40211548,40211548,2026-06-24T23:51:34Z,success,abcd_website
abcd_36972087,36972087,2026-06-24T23:51:34Z,success,abcd_website
abcd_32451322,32451322,2026-06-24T23:51:34Z,success,abcd_website
abcd_36948435,36948435,2026-06-24T23:51:34Z,success,abcd_website
abcd_38286629,38286629,2026-06-24T23:51:34Z,success,abcd_website
abcd_33518499,33518499,2026-06-24T23:51:34Z,success,abcd_website
abcd_39440454,39440454,2026-06-24T23:51:34Z,success,abcd_website
abcd_40080996,40080996,2026-06-24T23:51:34Z,success,abcd_website
abcd_40530340,40530340,2026-06-24T23:51:34Z,success,abcd_website
abcd_32414481,32414481,2026-06-24T23:51:34Z,success,abcd_website
abcd_36687306,36687306,2026-06-24T23:51:34Z,success,abcd_website
abcd_38227391,38227391,2026-06-24T23:51:34Z,success,abcd_website
abcd_40959708,40959708,2026-06-24T23:51:34Z,success,abcd_website
